OID_	CID	SGG_NM	POINT_X	POINT_Y
0	0	 	127.5837272	37.95694759
1	0	 	127.3629803	37.83775546
2	0	 	127.5428367	37.67813195
3	0	 	127.4567777	37.72226239
4	0	 	127.4525469	37.80500648
5	0	 	127.46359	37.73140085
6	0	 	126.9671079	37.64466619
7	0	 	126.8210139	37.60999456
8	0	 	126.8428708	37.67087089
9	0	 	126.8645119	37.66857079
10	0	 	126.9221262	37.65225518
11	0	 	126.8039795	37.60905291
12	0	 	126.8600048	37.62902219
13	0	 	126.8614008	37.63083668
14	0	 	126.8993337	37.71731963
15	0	 	126.8160938	37.63391448
16	0	 	126.7740131	37.62235962
17	0	 	126.881281	37.67655052
18	0	 	126.863058	37.63561109
19	0	 	126.8474921	37.58448734
20	0	 	126.8804425	37.71115974
21	0	 	126.873835	37.67616817
22	0	 	126.8336934	37.59992723
23	0	 	126.9044943	37.70449714
24	0	 	126.8592446	37.63980086
25	0	 	126.8768511	37.63699241
26	0	 	126.8632962	37.71201143
27	0	 	126.827537	37.66478712
28	0	 	126.8340238	37.64659315
29	0	 	126.8835818	37.59504621
30	0	 	126.8564357	37.73494087
31	0	 	126.898773	37.64602618
32	0	 	126.9166055	37.65427954
33	0	 	126.8192709	37.65447601
34	0	 	126.908557	37.71940942
35	0	 	126.898569	37.66095064
36	0	 	126.908068	37.68668325
37	0	 	126.8926034	37.63595072
38	0	 	126.8641548	37.63049038
39	0	 	126.8560765	37.58478476
40	0	 	126.848689	37.63353199
41	0	 	126.9076421	37.64107702
42	0	 	126.8478657	37.72292677
43	0	 	126.9348789	37.67102509
44	0	 	126.914217	37.66084216
45	0	 	126.9078508	37.64929444
46	0	 	126.8893013	37.69567435
47	0	 	126.8949725	37.65162663
48	0	 	126.8324642	37.6159334
49	0	 	126.8124343	37.60991061
50	0	 	126.8542591	37.70040795
51	0	 	126.8509967	37.60233428
52	0	 	126.9194013	37.65088541
53	0	 	126.9726027	37.66013121
54	0	 	126.854221	37.67118551
55	0	 	126.8928478	37.6258103
56	0	 	126.8395537	37.72832028
57	0	 	126.8286901	37.60692779
58	0	 	126.7528757	37.64727582
59	0	 	126.7494836	37.63874244
60	0	 	126.8119431	37.64874949
61	0	 	126.7813189	37.66263241
62	0	 	126.7666957	37.65515666
63	0	 	126.8116849	37.68963379
64	0	 	126.8428869	37.71431998
65	0	 	126.8184572	37.66993789
66	0	 	126.8401793	37.68762938
67	0	 	126.8439204	37.70154086
68	0	 	126.795013	37.72201119
69	0	 	126.7868815	37.71337883
70	0	 	126.8216313	37.68768405
71	0	 	126.8253949	37.67970041
72	0	 	126.8306526	37.71953227
73	0	 	126.8192248	37.7129406
74	0	 	126.7943874	37.65388053
75	0	 	126.8013211	37.71992024
76	0	 	126.7874035	37.66514218
77	0	 	126.8241283	37.7121702
78	0	 	126.8094647	37.64757037
79	0	 	126.7480262	37.66297866
80	0	 	126.7942675	37.63478624
81	0	 	126.7710366	37.65532758
82	0	 	126.782667	37.71651019
83	0	 	126.7496846	37.64073397
84	0	 	126.8116398	37.67060528
85	0	 	126.8077255	37.71843694
86	0	 	126.829521	37.69588644
87	0	 	126.7975354	37.67692007
88	0	 	126.7844906	37.68248079
89	0	 	126.7999476	37.6975436
90	0	 	126.7355308	37.64570785
91	0	 	126.7519309	37.65865853
92	0	 	126.7870737	37.65911813
93	0	 	126.7837478	37.67994495
94	0	 	126.7922505	37.66903146
95	0	 	126.8035785	37.67193499
96	0	 	126.8151293	37.69185584
97	0	 	126.7879531	37.67201148
98	0	 	126.7688177	37.63983408
99	0	 	126.7870082	37.70856025
100	0	 	126.8282706	37.69955851
101	0	 	126.7511103	37.65335098
102	0	 	126.8057627	37.66932701
103	0	 	126.8142833	37.70588554
104	0	 	126.8173669	37.66924176
105	0	 	126.7218589	37.67165382
106	0	 	126.7631913	37.67686404
107	0	 	126.7773771	37.68781911
108	0	 	126.7577898	37.67460395
109	0	 	126.6932006	37.68745604
110	0	 	126.7377505	37.67029254
111	0	 	126.7108469	37.69085489
112	0	 	126.7636182	37.67735816
113	0	 	126.690154	37.68231794
114	0	 	126.7182672	37.66039613
115	0	 	126.7340986	37.67695575
116	0	 	126.7653755	37.68597583
117	0	 	126.7267438	37.69497012
118	0	 	126.7364389	37.68527683
119	0	 	126.7379195	37.68778742
120	0	 	126.7690472	37.67298793
121	0	 	126.7390139	37.70276012
122	0	 	126.701717	37.66163869
123	0	 	126.7708345	37.69687862
124	0	 	126.7413464	37.69550922
125	0	 	126.7019864	37.69077631
126	0	 	126.7648882	37.6852984
127	0	 	126.7662649	37.67180373
128	0	 	126.7473575	37.67788768
129	0	 	126.7262423	37.66952336
130	0	 	126.6986828	37.67218622
131	0	 	126.7321706	37.690398
132	0	 	126.7233617	37.65942274
133	0	 	126.7471275	37.69229837
134	0	 	126.7341329	37.6649785
135	0	 	126.7269186	37.66548131
136	0	 	126.7533406	37.68560572
137	0	 	126.7339054	37.650054
138	0	 	126.7365883	37.68293138
139	0	 	127.0160077	37.42016288
140	0	 	127.0192858	37.45114806
141	0	 	126.9970946	37.40523867
142	0	 	126.9994375	37.43041425
143	0	 	127.0007185	37.41168758
144	0	 	127.0191403	37.43801486
145	0	 	126.9623286	37.42790507
146	0	 	127.0305619	37.41543765
147	0	 	126.9780465	37.41096385
148	0	 	126.8684041	37.44888127
149	0	 	126.8767984	37.47067555
150	0	 	126.8594789	37.43102214
151	0	 	126.8707377	37.45558381
152	0	 	126.8593346	37.46018309
153	0	 	126.8511826	37.46365
154	0	 	126.8422889	37.45915395
155	0	 	126.8448175	37.42958677
156	0	 	126.8621404	37.45457381
157	0	 	126.8511446	37.44816612
158	0	 	126.8500508	37.47304436
159	0	 	126.8848857	37.44942006
160	0	 	126.8814507	37.46752237
161	0	 	126.8914224	37.45183167
162	0	 	126.8658645	37.4169917
163	0	 	126.8555416	37.41613802
164	0	 	126.8597988	37.43573381
165	0	 	126.8984273	37.43396377
166	0	 	126.8642782	37.47747882
167	0	 	126.881926	37.43387518
168	0	 	126.8707202	37.45519974
169	0	 	126.8688715	37.42603732
170	0	 	126.8712074	37.48714566
171	0	 	126.8556854	37.47938184
172	0	 	126.8594764	37.43481117
173	0	 	126.8639445	37.42719054
174	0	 	126.859729	37.44879284
175	0	 	126.8559541	37.45877915
176	0	 	126.8808401	37.46737879
177	0	 	127.2585229	37.47482178
178	0	 	127.2386826	37.44999904
179	0	 	127.3821534	37.39039274
180	0	 	127.3675296	37.37302254
181	0	 	127.2615542	37.4977797
182	0	 	127.4398171	37.38479072
183	0	 	127.376304	37.40476289
184	0	 	127.304676	37.43970783
185	0	 	127.3915192	37.3266162
186	0	 	127.3487182	37.51529109
187	0	 	127.1925782	37.40962184
188	0	 	127.3919629	37.42077127
189	0	 	127.1818303	37.46929013
190	0	 	127.299288	37.28994279
191	0	 	127.3283581	37.50210466
192	0	 	127.2928671	37.41304614
193	0	 	127.3940742	37.42077208
194	0	 	127.3404918	37.30482475
195	0	 	127.3196777	37.44161011
196	0	 	127.2701014	37.48718222
197	0	 	127.2901236	37.34731537
198	0	 	127.2720626	37.49622633
199	0	 	127.2243114	37.37059716
200	0	 	127.2391891	37.40596928
201	0	 	127.2839182	37.29650029
202	0	 	127.3762226	37.49105632
203	0	 	127.3885269	37.39877351
204	0	 	127.204212	37.45066102
205	0	 	127.2673924	37.42769624
206	0	 	127.3324539	37.48022988
207	0	 	127.202021	37.47393525
208	0	 	127.2866037	37.3834516
209	0	 	127.3075731	37.4899234
210	0	 	127.2110977	37.34433737
211	0	 	127.3237734	37.34589238
212	0	 	127.2886092	37.41273368
213	0	 	127.3141033	37.39199311
214	0	 	127.3159926	37.52439757
215	0	 	127.2121759	37.36532778
216	0	 	127.3226786	37.49038117
217	0	 	127.3452423	37.3067581
218	0	 	127.2423456	37.44248257
219	0	 	127.2726198	37.47163392
220	0	 	127.1390006	37.61045675
221	0	 	127.1349836	37.61091091
222	0	 	127.1328754	37.62485423
223	0	 	127.1396352	37.58541723
224	0	 	127.1570067	37.58732313
225	0	 	127.1278853	37.58351238
226	0	 	127.1249478	37.60879998
227	0	 	127.1184896	37.57770952
228	0	 	127.1334219	37.63386839
229	0	 	127.1626862	37.59226128
230	0	 	127.1236048	37.62042436
231	0	 	127.1167589	37.62913385
232	0	 	127.1211183	37.63973546
233	0	 	127.1507534	37.57648233
234	0	 	127.1431467	37.58108187
235	0	 	127.1165286	37.62501017
236	0	 	127.1401112	37.60359407
237	0	 	127.1146082	37.58801806
238	0	 	127.1476581	37.60485724
239	0	 	127.1600883	37.58135729
240	0	 	126.9483456	37.36520428
241	0	 	126.8963858	37.31921582
242	0	 	126.9524615	37.34286895
243	0	 	126.8806685	37.33022132
244	0	 	126.9260726	37.37730829
245	0	 	126.9302761	37.37380849
246	0	 	126.9163778	37.36968442
247	0	 	126.9077653	37.35394596
248	0	 	126.9240807	37.31533806
249	0	 	126.9276478	37.36255906
250	0	 	126.9455469	37.34916413
251	0	 	126.9470382	37.3386013
252	0	 	126.9235605	37.33916222
253	0	 	126.9088769	37.32410314
254	0	 	126.9032838	37.34144285
255	0	 	126.8944092	37.3204411
256	0	 	126.9411531	37.33445991
257	0	 	126.9393092	37.33480831
258	0	 	126.9310728	37.30941148
259	0	 	126.9367705	37.34880044
260	0	 	126.9370821	37.349658
261	0	 	126.9291039	37.34777585
262	0	 	126.9313655	37.37343871
263	0	 	126.943134	37.3632146
264	0	 	126.8977668	37.321748
265	0	 	126.9240641	37.35313101
266	0	 	126.9483053	37.35593702
267	0	 	126.9417293	37.34804543
268	0	 	126.9073996	37.35740659
269	0	 	126.8898767	37.32728442
270	0	 	126.9324077	37.36614887
271	0	 	126.9407649	37.33767332
272	0	 	126.5426939	37.72395712
273	0	 	126.5490907	37.73297962
274	0	 	126.6148831	37.71536106
275	0	 	126.5476042	37.7294473
276	0	 	126.5448184	37.68091186
277	0	 	126.5926479	37.72678063
278	0	 	126.6761344	37.64366943
279	0	 	126.6613069	37.67978976
280	0	 	126.6123157	37.7419401
281	0	 	126.5369757	37.7087871
282	0	 	126.5881344	37.69974799
283	0	 	126.7592558	37.59693412
284	0	 	126.5951952	37.69794115
285	0	 	126.7089275	37.60947209
286	0	 	126.6213281	37.63951927
287	0	 	126.5737463	37.62288624
288	0	 	126.5619806	37.62800341
289	0	 	126.6975829	37.62054402
290	0	 	126.6581421	37.68079762
291	0	 	126.7694836	37.61070044
292	0	 	126.6725298	37.7140193
293	0	 	126.601772	37.73792201
294	0	 	126.7885534	37.60216981
295	0	 	126.5720299	37.64117934
296	0	 	126.7597192	37.59271596
297	0	 	126.5231404	37.7118285
298	0	 	126.5633122	37.66002749
299	0	 	126.7644925	37.6011605
300	0	 	126.5508182	37.67919589
301	0	 	126.6407725	37.72976995
302	0	 	126.7113903	37.62881068
303	0	 	126.6092372	37.71253524
304	0	 	126.570762	37.66364158
305	0	 	126.7255423	37.5959049
306	0	 	126.697195	37.6406037
307	0	 	126.6426849	37.74184067
308	0	 	126.7848639	37.59626527
309	0	 	126.7304586	37.61048546
310	0	 	126.6555202	37.67109865
311	0	 	126.5858417	37.60217863
312	0	 	126.6089649	37.66816573
313	0	 	126.5375449	37.75237241
314	0	 	126.7127051	37.64519876
315	0	 	126.5316182	37.70679133
316	0	 	126.7294574	37.59934226
317	0	 	126.7387711	37.62656489
318	0	 	126.5572997	37.76090429
319	0	 	126.679844	37.73055456
320	0	 	126.5313184	37.74304526
321	0	 	126.5633977	37.76720857
322	0	 	126.6075051	37.6522529
323	0	 	126.5670964	37.64536697
324	0	 	126.6591723	37.76889719
325	0	 	126.6321709	37.74099691
326	0	 	127.1644247	37.71825594
327	0	 	127.2198717	37.62332448
328	0	 	127.3496693	37.69626551
329	0	 	127.2877935	37.62401612
330	0	 	127.2613932	37.58940097
331	0	 	127.3407767	37.68893476
332	0	 	127.3468811	37.69471071
333	0	 	127.1484668	37.69790157
334	0	 	127.2809522	37.63172945
335	0	 	127.3018273	37.51861767
336	0	 	127.2816012	37.73937312
337	0	 	127.2648034	37.59005657
338	0	 	127.3026112	37.58791657
339	0	 	127.179491	37.59995797
340	0	 	127.2388355	37.7226341
341	0	 	127.244325	37.54605884
342	0	 	127.1696308	37.63088216
343	0	 	127.3676718	37.66460054
344	0	 	127.2158715	37.63744501
345	0	 	127.286466	37.70725637
346	0	 	127.1864481	37.6470346
347	0	 	127.1974001	37.70637666
348	0	 	127.2274321	37.71085896
349	0	 	127.3006007	37.71545632
350	0	 	127.2994931	37.61836256
351	0	 	127.2003987	37.63621033
352	0	 	127.3265295	37.69936134
353	0	 	127.3329048	37.65189044
354	0	 	127.2242792	37.59866311
355	0	 	127.2931054	37.72432683
356	0	 	127.3428183	37.62389481
357	0	 	127.2024582	37.64168473
358	0	 	127.2853198	37.74892061
359	0	 	127.2762093	37.68972579
360	0	 	127.1170464	37.65609389
361	0	 	127.3402458	37.64964579
362	0	 	127.3490233	37.72298576
363	0	 	127.2189727	37.6358262
364	0	 	127.1099753	37.66471701
365	0	 	127.3088407	37.74558072
366	0	 	127.2817442	37.76730457
367	0	 	127.3303702	37.63981837
368	0	 	127.2281721	37.60213092
369	0	 	127.176948	37.66706135
370	0	 	127.3542715	37.69618686
371	0	 	127.2484444	37.73846325
372	0	 	127.1529858	37.65379358
373	0	 	127.2030023	37.75024615
374	0	 	127.3143596	37.66618866
375	0	 	127.3128581	37.74358457
376	0	 	127.2392062	37.63819905
377	0	 	127.1691388	37.71592141
378	0	 	127.307062	37.67453398
379	0	 	127.3364737	37.68833672
380	0	 	127.3408645	37.70921635
381	0	 	127.3018203	37.60278541
382	0	 	127.3134395	37.70485225
383	0	 	127.1670702	37.6002986
384	0	 	127.1801576	37.59392639
385	0	 	127.2851939	37.77351731
386	0	 	127.3048808	37.64923288
387	0	 	127.3113561	37.56752729
388	0	 	127.1521629	37.67118377
389	0	 	127.1014466	37.90586089
390	0	 	127.0835489	37.87992061
391	0	 	127.1057982	37.87377061
392	0	 	127.0592913	37.96749092
393	0	 	127.0618698	37.91682466
394	0	 	127.0751718	37.94296358
395	0	 	127.0704184	37.94181072
396	0	 	127.0513017	37.90202107
397	0	 	126.7705144	37.48223091
398	0	 	126.7765544	37.47291489
399	0	 	126.8206771	37.46892241
400	0	 	126.8221953	37.4887799
401	0	 	126.8313184	37.46746253
402	0	 	126.8106136	37.46324289
403	0	 	126.7700377	37.47702028
404	0	 	126.7862552	37.47435444
405	0	 	126.7794354	37.47534077
406	0	 	126.831122	37.47707961
407	0	 	126.7591233	37.48471088
408	0	 	126.8179263	37.47319049
409	0	 	126.8112331	37.46663371
410	0	 	126.8207744	37.47259687
411	0	 	126.7511577	37.48692735
412	0	 	126.825139	37.46149631
413	0	 	126.7974442	37.48134342
414	0	 	126.8217	37.47308183
415	0	 	126.8050595	37.47853937
416	0	 	126.8248652	37.46853346
417	0	 	126.7632846	37.48303497
418	0	 	126.7754091	37.48098781
419	0	 	126.757971	37.48046521
420	0	 	126.7707291	37.47899454
421	0	 	126.777355	37.47928163
422	0	 	126.8172722	37.46653566
423	0	 	126.7718419	37.47615425
424	0	 	126.8254393	37.46718469
425	0	 	126.8096255	37.48128502
426	0	 	126.8217578	37.4735499
427	0	 	126.8130762	37.5133207
428	0	 	126.7863754	37.52933006
429	0	 	126.7685932	37.54385513
430	0	 	126.7810577	37.54481805
431	0	 	126.8028195	37.54115997
432	0	 	126.8062975	37.54179876
433	0	 	126.7729066	37.51662825
434	0	 	126.7959317	37.53151326
435	0	 	126.7740933	37.52608227
436	0	 	126.7774516	37.52588516
437	0	 	126.8267257	37.52921205
438	0	 	126.7738566	37.54761242
439	0	 	126.818924	37.51873524
440	0	 	126.7896123	37.5279996
441	0	 	126.8205823	37.53069654
442	0	 	126.8228716	37.52070246
443	0	 	126.7725038	37.54517051
444	0	 	126.8173076	37.52258264
445	0	 	126.8001109	37.53395227
446	0	 	126.7850723	37.51936895
447	0	 	126.8188601	37.53614447
448	0	 	126.7986408	37.50933375
449	0	 	126.763495	37.53817391
450	0	 	126.8034865	37.52658913
451	0	 	126.8214091	37.51262899
452	0	 	126.7970576	37.50951652
453	0	 	126.7919472	37.54155919
454	0	 	126.8173641	37.53684875
455	0	 	126.7928866	37.52845889
456	0	 	126.776664	37.52671056
457	0	 	126.7870196	37.50948794
458	0	 	126.7787141	37.48894424
459	0	 	126.7901497	37.50127257
460	0	 	126.7923105	37.52090885
461	0	 	126.7499938	37.50066104
462	0	 	126.7956994	37.49279381
463	0	 	126.7785297	37.49813058
464	0	 	126.7943399	37.49161628
465	0	 	126.7670563	37.49971379
466	0	 	126.7979628	37.50185807
467	0	 	126.7898858	37.50156872
468	0	 	126.7612492	37.51016525
469	0	 	126.7793168	37.50598559
470	0	 	126.7709155	37.48644058
471	0	 	126.7629207	37.50871081
472	0	 	126.7612395	37.51455136
473	0	 	126.7805873	37.50799083
474	0	 	126.7471078	37.50571315
475	0	 	126.7642206	37.51095511
476	0	 	126.7642645	37.51217329
477	0	 	126.7700678	37.5080504
478	0	 	126.7485217	37.49658573
479	0	 	126.7470302	37.50529879
480	0	 	126.7655305	37.50143182
481	0	 	126.7833933	37.50460445
482	0	 	126.7674097	37.48781117
483	0	 	126.7477066	37.50543754
484	0	 	126.7912556	37.52132204
485	0	 	126.7989733	37.49375207
486	0	 	126.7520019	37.5039716
487	0	 	127.1498043	37.38505571
488	0	 	127.1402877	37.37149245
489	0	 	127.1234622	37.36763487
490	0	 	127.0767379	37.36377198
491	0	 	127.1452628	37.401456
492	0	 	127.1268723	37.350431
493	0	 	127.0974246	37.37510737
494	0	 	127.1742388	37.38353784
495	0	 	127.0353802	37.37768442
496	0	 	127.1020401	37.37204463
497	0	 	127.1571731	37.40543736
498	0	 	127.039288	37.38443771
499	0	 	127.1314514	37.3964163
500	0	 	127.0619184	37.37885734
501	0	 	127.1190212	37.36217089
502	0	 	127.1261666	37.34773311
503	0	 	127.1389207	37.36940648
504	0	 	127.1231819	37.39076707
505	0	 	127.0960499	37.40696379
506	0	 	127.0402621	37.37486186
507	0	 	127.033779	37.37179611
508	0	 	127.1338362	37.40810649
509	0	 	127.0904077	37.37798912
510	0	 	127.1446363	37.41230276
511	0	 	127.1080446	37.38803899
512	0	 	127.0977774	37.35857946
513	0	 	127.1108302	37.37289601
514	0	 	127.0467737	37.38811397
515	0	 	127.1256146	37.34418439
516	0	 	127.0920116	37.39830847
517	0	 	127.1363192	37.36060198
518	0	 	127.0451539	37.40178333
519	0	 	127.1322236	37.40865271
520	0	 	127.046709	37.39660458
521	0	 	127.0943765	37.36588122
522	0	 	127.0849624	37.38546446
523	0	 	127.1454423	37.36352836
524	0	 	127.1570633	37.39911387
525	0	 	127.1498157	37.40025554
526	0	 	127.0507689	37.39098515
527	0	 	127.0834831	37.37774587
528	0	 	127.0565103	37.36082676
529	0	 	127.1417819	37.406624
530	0	 	127.0612594	37.37733499
531	0	 	127.1086943	37.37907304
532	0	 	127.0821114	37.37071794
533	0	 	127.1294068	37.38449986
534	0	 	127.051385	37.37798784
535	0	 	127.0825025	37.36525619
536	0	 	127.0562415	37.38604466
537	0	 	127.1085846	37.40612071
538	0	 	127.1185167	37.40797257
539	0	 	127.078923	37.36043736
540	0	 	127.0960194	37.36335351
541	0	 	127.1166589	37.39401076
542	0	 	127.0908833	37.36297822
543	0	 	127.0851045	37.3690922
544	0	 	127.0913752	37.38925633
545	0	 	127.1461197	37.41281175
546	0	 	127.1656051	37.3845763
547	0	 	127.1043383	37.34935329
548	0	 	127.1210534	37.34045854
549	0	 	127.0945206	37.38297541
550	0	 	127.1123189	37.34506419
551	0	 	127.0981328	37.36789862
552	0	 	127.1214268	37.39566098
553	0	 	127.1529652	37.37021372
554	0	 	127.1126967	37.39111911
555	0	 	127.1673456	37.39656299
556	0	 	127.0874089	37.37791253
557	0	 	127.1063777	37.35495426
558	0	 	127.0916209	37.3915885
559	0	 	127.1417982	37.3732
560	0	 	127.0552621	37.36138238
561	0	 	127.0406381	37.39989559
562	0	 	127.133131	37.36654989
563	0	 	127.0976018	37.35141933
564	0	 	127.0513295	37.40258199
565	0	 	127.1441348	37.39888686
